user_id,name,email,signup_date,plan,country,company_size,status,mrr
USR0001,User 1,user1@company.com,2024-03-05,Starter,Germany,1-10,Active,29
USR0002,User 2,user2@company.com,2024-05-01,Enterprise,United States,11-50,Churned,0
USR0003,User 3,user3@company.com,2024-06-18,Starter,United States,500+,Churned,0
USR0004,User 4,user4@company.com,2024-02-14,Growth,Australia,11-50,Active,79
USR0005,User 5,user5@company.com,2024-03-25,Starter,Canada,11-50,Active,29
USR0006,User 6,user6@company.com,2024-02-22,Starter,Germany,51-200,Active,29
USR0007,User 7,user7@company.com,2024-04-22,Growth,United States,51-200,Active,79
USR0008,User 8,user8@company.com,2024-06-30,Growth,Germany,1-10,Active,79
USR0009,User 9,user9@company.com,2024-04-28,Growth,Canada,500+,Churned,0
USR0010,User 10,user10@company.com,2024-03-10,Starter,United Kingdom,1-10,Active,29
USR0011,User 11,user11@company.com,2024-05-15,Trial,Australia,51-200,Churned,0
USR0012,User 12,user12@company.com,2024-06-04,Starter,United Kingdom,51-200,Active,29
USR0013,User 13,user13@company.com,2024-04-08,Trial,United States,51-200,Churned,0
USR0014,User 14,user14@company.com,2024-04-01,Growth,United States,11-50,Active,79
USR0015,User 15,user15@company.com,2024-05-24,Growth,United Kingdom,51-200,Active,79
USR0016,User 16,user16@company.com,2024-01-25,Starter,United States,11-50,Converted,29
USR0017,User 17,user17@company.com,2024-03-31,Enterprise,United Kingdom,1-10,Active,199
USR0018,User 18,user18@company.com,2024-05-03,Trial,Germany,51-200,Churned,0
USR0019,User 19,user19@company.com,2024-03-02,Trial,United States,11-50,Churned,0
USR0020,User 20,user20@company.com,2024-05-01,Trial,United States,1-10,Churned,0
USR0021,User 21,user21@company.com,2024-01-23,Trial,United States,201-500,Active,0
USR0022,User 22,user22@company.com,2024-06-20,Starter,Australia,51-200,Active,29
USR0023,User 23,user23@company.com,2024-06-02,Starter,United Kingdom,201-500,Active,29
USR0024,User 24,user24@company.com,2024-04-30,Growth,United States,11-50,Active,79
USR0025,User 25,user25@company.com,2024-02-18,Growth,United States,51-200,Converted,79
USR0026,User 26,user26@company.com,2024-01-03,Trial,United Kingdom,51-200,Churned,0
USR0027,User 27,user27@company.com,2024-04-18,Trial,United States,11-50,Churned,0
USR0028,User 28,user28@company.com,2024-05-05,Starter,United States,201-500,Churned,0
USR0029,User 29,user29@company.com,2024-06-15,Starter,Germany,201-500,Active,29
USR0030,User 30,user30@company.com,2024-05-14,Starter,Canada,500+,Churned,0
USR0031,User 31,user31@company.com,2024-06-23,Starter,Canada,11-50,Active,29
USR0032,User 32,user32@company.com,2024-05-09,Starter,United States,500+,Churned,0
USR0033,User 33,user33@company.com,2024-05-23,Growth,Australia,11-50,Active,79
USR0034,User 34,user34@company.com,2024-01-27,Trial,Canada,1-10,Active,0
USR0035,User 35,user35@company.com,2024-05-30,Growth,United Kingdom,11-50,Active,79
USR0036,User 36,user36@company.com,2024-05-30,Trial,United States,51-200,Churned,0
USR0037,User 37,user37@company.com,2024-06-16,Enterprise,United Kingdom,51-200,Active,199
USR0038,User 38,user38@company.com,2024-04-06,Trial,United States,11-50,Churned,0
USR0039,User 39,user39@company.com,2024-06-07,Growth,United States,51-200,Active,79
USR0040,User 40,user40@company.com,2024-05-06,Starter,Germany,1-10,Churned,0
USR0041,User 41,user41@company.com,2024-01-02,Trial,United States,201-500,Active,0
USR0042,User 42,user42@company.com,2024-06-12,Growth,Australia,51-200,Churned,0
